Enforcer,Input Size,Total Time (s)
LE_Monolithic,100,0.008386611938476562
LE_Monolithic,1000,0.5372319221496582
LE_Monolithic,2000,2.2677693367004395
LE_Monolithic,3000,5.09723973274231
LE_Monolithic,4000,8.928682565689087
LE_Monolithic,5000,13.84983205795288
LE_Monolithic,6000,19.94895887374878
LE_Monolithic,7000,27.040300846099854
LE_Monolithic,8000,35.432368993759155
LE_Monolithic,9000,45.117295026779175
LE_Monolithic,10000,55.54973292350769
LE_Parallel,100,0.008036375045776367
LE_Parallel,1000,0.12891101837158203
LE_Parallel,2000,0.5138061046600342
LE_Parallel,3000,1.1714670658111572
LE_Parallel,4000,2.2436652183532715
LE_Parallel,5000,3.3862290382385254
LE_Parallel,6000,4.711282014846802
LE_Parallel,7000,6.4876697063446045
LE_Parallel,8000,11.112537145614624
LE_Parallel,9000,37.97834014892578
LE_Parallel,10000,47.66111373901367
Strict_Monolithic,100,0.0
Strict_Monolithic,1000,0.007124185562133789
Strict_Monolithic,2000,0.0
Strict_Monolithic,3000,0.006029605865478516
Strict_Monolithic,4000,0.0037577152252197266
Strict_Monolithic,5000,0.015357494354248047
Strict_Monolithic,6000,0.015764236450195312
Strict_Monolithic,7000,0.025943517684936523
Strict_Monolithic,8000,0.020753860473632812
Strict_Monolithic,9000,0.022185325622558594
Strict_Monolithic,10000,0.01981830596923828
Strict_Serial,100,0.0
Strict_Serial,1000,0.02829146385192871
Strict_Serial,2000,0.11014914512634277
Strict_Serial,3000,0.16143012046813965
Strict_Serial,4000,0.22493577003479004
Strict_Serial,5000,0.4027867317199707
Strict_Serial,6000,0.5868098735809326
Strict_Serial,7000,0.6481165885925293
Strict_Serial,8000,1.0980877876281738
Strict_Serial,9000,1.2478723526000977
Strict_Serial,10000,1.573784589767456
Strict_Parallel,100,0.0018243789672851562
Strict_Parallel,1000,0.0
Strict_Parallel,2000,0.0
Strict_Parallel,3000,0.0
Strict_Parallel,4000,0.016103506088256836
Strict_Parallel,5000,0.026665925979614258
Strict_Parallel,6000,0.021854400634765625
Strict_Parallel,7000,0.0203249454498291
Strict_Parallel,8000,0.027629375457763672
Strict_Parallel,9000,0.026298046112060547
Strict_Parallel,10000,0.03966784477233887
Exclusive_Monolithic,100,0.0058460235595703125
Exclusive_Monolithic,1000,0.055074453353881836
Exclusive_Monolithic,2000,0.1338496208190918
Exclusive_Monolithic,3000,0.1973867416381836
Exclusive_Monolithic,4000,0.2149815559387207
Exclusive_Monolithic,5000,0.2772023677825928
Exclusive_Monolithic,6000,0.3459947109222412
Exclusive_Monolithic,7000,0.4348769187927246
Exclusive_Monolithic,8000,0.4824187755584717
Exclusive_Monolithic,9000,0.5222337245941162
Exclusive_Monolithic,10000,0.5764904022216797
Exclusive_Parallel,100,0.004110097885131836
Exclusive_Parallel,1000,0.05926036834716797
Exclusive_Parallel,2000,0.09134316444396973
Exclusive_Parallel,3000,0.14377379417419434
Exclusive_Parallel,4000,0.19076061248779297
Exclusive_Parallel,5000,0.2596008777618408
Exclusive_Parallel,6000,0.27942991256713867
Exclusive_Parallel,7000,0.33772897720336914
Exclusive_Parallel,8000,0.40514469146728516
Exclusive_Parallel,9000,0.4937419891357422
Exclusive_Parallel,10000,0.5185701847076416
