Enforcer,Input Size,Total Time (s)
LE_Monolithic,100,0.002005338668823242
LE_Monolithic,1000,0.006000041961669922
LE_Monolithic,2000,0.020499706268310547
LE_Monolithic,3000,0.048220157623291016
LE_Monolithic,4000,0.052886247634887695
LE_Monolithic,5000,0.06872367858886719
LE_Monolithic,6000,0.07595396041870117
LE_Monolithic,7000,0.07892394065856934
LE_Monolithic,8000,0.09354496002197266
LE_Monolithic,9000,0.11277222633361816
LE_Monolithic,10000,0.1417102813720703
LE_Parallel,100,0.0009119510650634766
LE_Parallel,1000,0.003689289093017578
LE_Parallel,2000,0.005007743835449219
LE_Parallel,3000,0.0
LE_Parallel,4000,0.016108274459838867
LE_Parallel,5000,0.015960693359375
LE_Parallel,6000,0.016002655029296875
LE_Parallel,7000,0.015947580337524414
LE_Parallel,8000,0.023001909255981445
LE_Parallel,9000,0.02190685272216797
LE_Parallel,10000,0.03200960159301758
Strict_Monolithic,100,0.0
Strict_Monolithic,1000,0.0
Strict_Monolithic,2000,0.0
Strict_Monolithic,3000,0.01470804214477539
Strict_Monolithic,4000,0.010751485824584961
Strict_Monolithic,5000,0.01595902442932129
Strict_Monolithic,6000,0.015787601470947266
Strict_Monolithic,7000,0.031705617904663086
Strict_Monolithic,8000,0.032106637954711914
Strict_Monolithic,9000,0.04224586486816406
Strict_Monolithic,10000,0.04509925842285156
Strict_Serial,100,0.0
Strict_Serial,1000,0.036070823669433594
Strict_Serial,2000,0.14317011833190918
Strict_Serial,3000,0.31845855712890625
Strict_Serial,4000,0.5647122859954834
Strict_Serial,5000,0.8757672309875488
Strict_Serial,6000,1.2774059772491455
Strict_Serial,7000,1.7084059715270996
Strict_Serial,8000,2.2252895832061768
Strict_Serial,9000,2.855806350708008
Strict_Serial,10000,3.526320457458496
Strict_Parallel,100,0.0
Strict_Parallel,1000,0.0
Strict_Parallel,2000,0.0
Strict_Parallel,3000,0.008673667907714844
Strict_Parallel,4000,0.007262229919433594
Strict_Parallel,5000,0.0
Strict_Parallel,6000,0.014073371887207031
Strict_Parallel,7000,0.010848522186279297
Strict_Parallel,8000,0.0045087337493896484
Strict_Parallel,9000,0.01598668098449707
Strict_Parallel,10000,0.014345884323120117
Exclusive_Monolithic,100,0.00179290771484375
Exclusive_Monolithic,1000,0.009654045104980469
Exclusive_Monolithic,2000,0.022141456604003906
Exclusive_Monolithic,3000,0.03161501884460449
Exclusive_Monolithic,4000,0.031195878982543945
Exclusive_Monolithic,5000,0.06270909309387207
Exclusive_Monolithic,6000,0.06731772422790527
Exclusive_Monolithic,7000,0.05984973907470703
Exclusive_Monolithic,8000,0.09573531150817871
Exclusive_Monolithic,9000,0.09470677375793457
Exclusive_Monolithic,10000,0.10792922973632812
Exclusive_Parallel,100,0.0027272701263427734
Exclusive_Parallel,1000,0.016109228134155273
Exclusive_Parallel,2000,0.04736161231994629
Exclusive_Parallel,3000,0.0634148120880127
Exclusive_Parallel,4000,0.0839998722076416
Exclusive_Parallel,5000,0.08938145637512207
Exclusive_Parallel,6000,0.11170172691345215
Exclusive_Parallel,7000,0.14274096488952637
Exclusive_Parallel,8000,0.1587982177734375
Exclusive_Parallel,9000,0.1744985580444336
Exclusive_Parallel,10000,0.20595908164978027
